school_type, school_no, school_status, longitude, latitude
"Secondary",7603,"O",145.364,-38.0311
"Primary",1,"O",146.667,-38.6177
"Primary",3,"O",142.59,-38.3863
"Primary",4,"O",143.476,-37.0845
"Primary",8,"O",145.235,-36.9014
"Primary",12,"O",145.214,-37.7427
"Primary",26,"O",144.342,-38.1707
"Primary",28,"O",144.443,-37.673
"Primary",33,"O",143.854,-37.564
"Primary",37,"O",146.89,-36.1292
"Primary",40,"O",145.354,-38.0442
"Primary",60,"O",143.382,-37.4385
"Primary",84,"O",145.055,-37.9686
"Primary",105,"O",142.651,-38.3479
"Primary",113,"O",144.878,-37.8384
"Primary",116,"O",142.04,-37.5309
"Primary",117,"O",143.598,-38.3372
"Primary",119,"O",144.222,-37.0666
"Primary",120,"O",144.205,-37.0929
"Primary",122,"O",143.892,-37.4241
"Primary",123,"O",144.25,-36.7332
"Primary",128,"O",145.27,-37.6023
"Primary",182,"O",142.467,-38.3663
"Primary",184,"O",144.96,-38.3396
"Primary",197,"O",145.13,-37.7868
"Primary",208,"O",144.747,-36.1282
"Primary",209,"O",145.148,-37.725
"Primary",210,"O",144.255,-36.7206
"Primary",220,"O",144.333,-37.105
"Primary",244,"O",145.258,-38.0016
"Primary",250,"O",144.934,-37.7814
"Primary",253,"O",144.893,-37.7984
"Primary",262,"O",144.588,-37.4909
"Primary",264,"O",144.165,-37.152
"Primary",267,"O",145.009,-37.9476
"Primary",275,"O",146.983,-36.7689
"Primary",283,"O",144.348,-38.1972
"Primary",293,"O",145.018,-37.8201
"Primary",294,"O",145.068,-37.7547
"Primary",295,"O",142.021,-37.7449
"Primary",300,"O",144.707,-36.924
"Primary",304,"O",144.317,-38.1722
"Primary",306,"O",144.334,-36.6625
"Primary",319,"O",144.263,-38.3336
"Primary",327,"O",146.607,-36.1471
"Primary",343,"O",144.451,-37.2491
"Primary",366,"O",144.745,-37.3542
"Primary",379,"O",143.982,-38.014
"Primary",385,"O",144.157,-36.8417
"Primary",400,"O",144.136,-36.7355
"Primary",415,"O",144.584,-37.4048
"Primary",427,"O",143.868,-37.6044
"Primary",430,"O",144.586,-37.6811
"Primary",450,"O",144.982,-37.7996
"Primary",452,"O",144.067,-37.1059
"Primary",453,"O",143.984,-37.412
"Primary",454,"O",145.152,-37.8598
"Primary",467,"O",144.597,-37.4629
"Primary",482,"O",143.644,-38.194
"Primary",483,"O",144.921,-37.7531
"Primary",484,"O",144.968,-37.7412
"Primary",486,"O",142.291,-37.8792
"Primary",487,"O",144.346,-37.6197
"Primary",488,"O",145.092,-37.5946
